1	10408
1	9499
1	6190
1	3866
1	4056
1	3840
1	4017
2	2
2	12326
2	12309
2	12322
2	1269
2	12329
2	809
3	1166
3	1154
3	1200
3	1144
3	1153
3	1162
3	1146
3	1060
3	1172
4	8881
4	8889
5	18333
5	17985
5	18241
5	18149
5	18218
5	18201
5	637
5	18208
5	18196
5	603
5	18174
5	18288
5	18176
5	18265
5	2200
5	18256
5	18289
5	18129
5	627
5	525
5	18205
5	789
5	636
5	2329
5	18309
5	17786
5	18126
5	5950
5	18159
5	8161
5	17878
5	573
5	18150
5	18223
5	654
5	18323
5	2167
5	18276
6	4661
6	19357
6	19508
6	19407
6	19375
6	19289
6	19326
6	19514
6	19365
6	19483
6	19364
6	19358
6	19485
6	1962
6	4666
6	759
6	19282
6	19343
6	19455
6	19320
6	705
6	12322
6	19394
6	4323
6	19036
6	19393
6	19515
6	19370
6	19511
6	19361
6	19497
6	19281
6	19318
6	19495
7	5
7	20619
7	20623
7	15665
7	6617
8	154
8	20642
10	23493
10	21587
10	4470
10	19205
10	23546
10	23510
10	827
10	23532
10	4221
10	23542
10	23494
10	23507
12	803
12	791
12	781
12	652
12	759
12	768
12	784
12	435
12	785
12	790
13	1458
13	1463
13	1452
13	1448
13	1435
13	1438
13	1475
14	4737
14	438
14	2323
14	279
14	4304
15	4933
15	510
17	421
17	5
17	270
17	1224
17	17467
17	17473
17	833
18	5117
18	2416
18	17687
18	17660
18	17685
18	17681
18	668
18	17683
18	813
18	627
18	788
18	17646
18	17691
18	17651
18	13061
18	17640
18	11416
18	17672
18	818
19	18409
19	2396
19	1680
19	18047
19	490
19	1176
20	19664
20	19681
20	4533
20	6874
20	4209
20	19818
20	19785
20	19655
20	10978
20	4903
20	19760
20	19782
20	19761
20	19716
20	19816
20	19695
20	19788
20	19811
20	108
20	19697
20	5169
20	11647
20	7462
20	12710
20	19687
20	179
20	7481
20	12612
20	8733
20	14519
20	7533
20	19699
20	129
20	1002
21	22523
21	746
22	23672
22	23638
22	21947
22	23693
22	21925
22	23711
22	21941
22	21835
