2819	13304	1
3512	22114	1
4810	15334	1
1830	6564	1
4401	8987	1
848	9631	1
762	4950	1
6600	17001	1
4954	3149	1
2709	18303	2
5333	18783	1
5282	10078	1
9473	9410	1
8153	62	1
1713	21271	1
2677	17241	2
5773	1103	7
1831	9809	1
885	18157	1
3482	8611	4
248	15906	2
3023	959	2
3733	4119	1
7585	12375	1
3681	15814	1
2320	2918	1
2659	8793	1
1795	23358	7
653	23282	1
7966	1820	1
3597	23352	1
3701	8604	1
2736	22746	1
1715	19928	6
9319	7259	1
8737	14476	4
3254	15731	2
293	7354	2
6345	18660	1
6487	1524	1
5917	5459	1
9432	23473	1
8980	18216	1
1293	767	1
5205	17720	1
4892	22309	1
1293	11598	2
7469	13735	1
5347	15563	16
5405	10936	1
991	8501	1
782	22699	4
1637	5966	1
6463	19145	1
5138	15693	1
9654	1473	1
1819	11659	2
4636	4541	1
5606	15983	1
9397	665	1
5751	20096	1
6074	16416	1
3814	7259	5
4391	18467	1
8318	6326	1
9956	723	2
7385	21971	1
3879	8949	1
3450	24115	1
143	16464	1
6520	4558	1
4466	3455	1
1831	17862	1
5006	10027	4
127	3785	1
1313	452	1
4216	3085	1
1849	15209	1
9060	22068	1
5809	22568	1
9960	6641	1
7996	12968	1
1831	16254	1
8556	21750	1
5406	6402	1
2692	14737	1
9195	14794	1
5302	7570	1
3226	22637	1
6769	16631	2
6976	3732	2
6999	5643	1
2244	10943	1
6384	370	1
3002	16737	1
756	14673	2
7334	16931	1
2512	12426	1
9840	8390	1
1717	889	1
4633	8135	1
8318	13746	1
6389	5145	1
5851	2554	1
3516	4985	1
5196	9470	1
777	2826	1
4241	20563	2
5671	15482	1
6238	14122	1
1783	16210	1
8231	8609	1
9617	12254	1
6903	16132	1
3633	21382	8
6712	2375	1
6176	2335	1
1855	12391	1
59	19531	1
2570	13269	1
879	3941	1
2143	20935	1
8917	9472	1
848	4304	1
5288	14784	1
4018	12744	1
9582	17726	1
3362	1044	5
2659	5174	1
3747	9816	1
4248	10163	1
5172	15693	1
8017	23383	1
1740	16200	1
1363	11709	1
3733	1499	1
5248	20596	1
9949	17448	1
4386	12272	1
5989	345	1
5622	5544	4
4207	23052	2
5282	21616	2
3690	13959	1
5779	2698	1
8424	13991	1
3814	22212	2
7391	8658	1
1370	9184	1
8811	13236	1
8178	11326	1
7562	4746	1
7045	6908	1
7790	17699	1
1923	18863	2
4090	11491	1
5486	13813	1
4822	19683	1
2771	11664	1
5205	22144	4
3799	15416	8
7142	23806	1
4488	1402	2
3171	22885	2
7618	21541	1
962	15453	1
2299	8405	1
147	3231	1
28	18219	1
381	11711	1
1716	12012	2
756	7718	3
7491	19525	1
1362	22829	1
3047	24137	1
9983	8284	1
2567	20098	1
6141	7259	2
1649	6331	1
8061	17480	1
7920	19601	1
7015	23445	1
5452	22421	1
5065	11874	2
5431	1076	2
6162	23320	1
2317	10209	1
5406	21272	1
9729	7049	2
2446	3316	3
6071	5255	1
2582	1993	1
9776	15963	1
5849	15814	1
9572	19716	2
8070	12939	1
2794	16512	1
7333	17351	1
6488	3725	1
2502	5050	1
9797	6658	1
4988	17725	1
1701	19079	1
522	11758	2
8222	6399	4
6023	1151	2
6704	17279	2
5615	22293	1
3976	6752	1
3487	16190	1
2720	9991	3
905	70	1
6620	5671	2
1752	15024	1
4987	10635	1
1269	11146	1
7744	2667	1
4658	5380	1
1327	14238	13
2648	11726	1
8942	8718	1
5660	10283	1
9686	18830	1
2125	19366	1
8886	19380	1
777	6082	1
1935	16633	1
3433	23445	1
9179	16239	2
4851	12033	1
5802	19158	1
6708	9003	1
4677	21220	2
1952	6532	2
9027	12435	1
7835	7618	1
9269	19890	1
1199	8489	1
3558	21450	1
7255	12395	3
7728	19171	1
7263	11601	1
4186	2846	2
8317	23302	1
4378	18088	1
2263	21209	1
3749	10614	2
1241	21095	1
1897	20334	1
8569	8182	1
3597	9118	1
9407	17366	1
9346	15928	1
7863	10226	1
2923	7235	1
3894	8298	1
7391	20924	1
8424	5255	1
655	4335	2
5201	11627	1
8768	14902	1
5292	22962	1
3597	23833	1
1222	8415	1
4051	6065	1
8837	21019	2
78	9261	1
6074	10698	1
3533	22155	1
7533	6689	1
9038	5022	1
4213	520	2
1007	7259	1
1742	5459	1
8095	14080	1
1038	11458	1
1558	21876	1
217	212	1
1813	18472	1
848	1262	4
7885	19689	1
1775	22281	1
1928	11757	1
7555	15849	1
1913	6696	1
5982	1363	1
9481	14646	1
7646	6309	1
879	22029	1
2143	9385	1
1821	17186	2
5877	15077	1
6023	19361	1
848	6630	2
3658	4432	1
995	9067	1
2092	11330	1
6570	11030	1
2016	5393	1
5637	3708	1
9711	23329	2
1108	19265	1
1039	19271	1
41	10810	1
4895	16648	1
6200	18170	3
4259	5246	1
8863	3540	13
9467	15517	1
8158	21262	1
4279	3785	1
5537	20825	1
2880	19663	1
7616	15487	1
7115	11445	3
672	23863	1
2015	22456	1
3532	19741	1
10141	20480	1
5326	19636	1
4612	12678	1
9131	4692	1
5011	12511	1
3733	13025	1
9131	7866	1
6621	5566	1
6087	6235	1
2550	11687	1
4370	6267	1
9882	657	1
8623	9083	1
2108	11378	1
336	14611	1
7860	772	1
464	7619	1
1292	11351	1
8127	21789	1
46	13236	1
3216	16989	1
4448	7754	2
9511	16334	1
6622	10981	1
1614	6300	2
2559	19529	1
4858	20095	1
2247	13228	1
7126	50	1
9772	2468	1
753	20011	1
3407	13520	1
5869	7912	1
9431	2093	11
8433	10659	1
511	13538	1
5653	8620	1
6015	23446	1
9835	21812	1
9702	12479	1
9221	8856	2
8629	9496	2
6162	4901	1
8083	8352	1
1143	18588	2
7170	20723	1
2777	2268	1
1990	6053	1
9185	10731	1
4138	18152	1
845	15389	1
697	14033	1
9039	20695	2
7045	472	1
7759	7767	3
4949	4410	1
7814	10167	1
6577	16681	1
1435	3180	1
8407	14401	2
8690	12272	2
7770	12236	1
1379	13159	1
2276	8136	3
7322	16893	1
9770	21003	1
5159	315	2
10003	960	1
3845	2878	1
3771	14613	2
755	10940	1
1637	22808	1
5593	14055	1
9155	452	1
4748	943	2
588	3766	1
6906	22785	1
6333	11695	1
9060	18506	1
6842	1295	1
7425	22526	1
4139	6879	2
2632	18100	3
2060	24182	1
8633	16097	1
5954	21867	1
9166	13694	1
9127	8938	1
6832	3829	1
7997	21156	3
6503	22258	1
7164	2256	1
9075	15420	1
2955	17651	3
3282	20725	3
6622	9628	1
8523	16941	2
1030	18981	1
283	1780	1
879	11627	3
4297	16675	1
5519	20977	1
4274	12702	3
4070	8677	1
4347	17720	1
2794	14619	1
7321	14582	2
7099	10720	2
8696	10915	1
6432	4673	1
9753	15665	1
5563	12782	1
6674	336	1
2708	14610	2
5738	11910	1
6859	3048	11
2676	11521	2
6286	18798	1
8721	5590	1
8445	18830	1
3757	14024	1
2257	2328	1
1472	21932	1
6170	6287	2
8231	19511	1
3336	10566	1
1497	1160	1
420	10268	1
4800	4971	2
8153	22105	1
4904	23269	1
10062	12391	1
7939	12086	1
8269	18021	2
3179	15931	1
8444	21772	1
9617	18940	1
5473	11949	1
7979	14729	1
5016	7198	1
2384	7511	1
8876	10261	1
6531	22778	1
2861	8033	1
3747	19222	1
5815	17910	1
3410	1352	1
4051	24113	1
4339	24059	1
7970	4419	2
977	13932	1
2692	13734	1
337	12764	1
7605	4551	1
6410	7575	11
1996	18762	1
7513	21183	1
5519	16787	1
9201	15825	1
1250	12213	1
5835	12243	1
3955	12952	1
2698	9269	1
229	12272	1
3880	20811	1
8077	4047	1
3976	11626	1
8697	18129	1
8061	21180	1
5175	13818	1
8242	8331	1
9141	16526	1
2590	10338	1
2692	12180	1
6	8454	11
6719	2343	1
2949	8502	1
3971	23347	2
6099	14796	1
7096	1075	1
3293	1041	1
2828	18594	1
1630	12165	1
10025	16392	1
5358	22565	4
5407	5062	1
6333	11466	1
6622	15584	1
6895	13124	1
5261	7282	1
4017	22722	1
6074	6660	1
7925	18267	1
2644	13276	1
6238	10928	5
894	15693	11
7428	6499	2
7750	3706	1
188	14173	1
9561	9630	3
10067	12679	1
263	6820	1
1533	23057	1
10085	4069	1
5598	15693	1
2252	8198	1
2964	15693	1
3782	17830	2
3392	21371	1
5470	24090	1
9850	18505	2
6671	481	1
6508	17385	1
5484	11668	1
2035	2375	1
15	9895	1
9488	18056	1
4425	16005	1
8272	1368	1
5415	14818	1
5519	18570	1
5663	14613	1
8446	5248	1
8335	12043	1
